node_id,sector,size_bucket
N000,Tech,mid
N001,Tech,small
N002,Consumer,small
N003,Energy,large
N004,Energy,small
N005,Energy,large
N006,Health,small
N007,Health,small
N008,Tech,mid
N009,Tech,mid
N010,Health,small
N011,Tech,small
N012,Energy,small
N013,Tech,small
N014,Tech,small
N015,Health,large
N016,Tech,small
N017,Energy,mid
N018,Energy,small
N019,Tech,small
N020,Industrials,mid
N021,Industrials,small
N022,Consumer,mid
N023,Tech,mid
N024,Energy,mid
N025,Energy,small
N026,Energy,mid
N027,Industrials,large
N028,Industrials,mid
N029,Tech,small
N030,Consumer,small
N031,Consumer,small
N032,Industrials,small
N033,Consumer,large
N034,Energy,small
N035,Industrials,mid
N036,Tech,large
N037,Health,small
N038,Health,small
N039,Energy,mid
